Fecha,Jugador,Puntos
2026-08-15,Ejkar,0.0
2026-08-15,Joaquín,3.0
2026-08-15,Juan,0.0
2026-08-15,Miguel Ángel,3.0
2026-08-15,Mírete,0.0
2026-08-15,Sierra,0.0
2026-08-15,Telenti,0.0
2026-08-15,Vecina,0.0
2026-08-16,Ejkar,0.0
2026-08-16,Joaquín,3.0
2026-08-16,Juan,0.0
2026-08-16,Miguel Ángel,3.0
2026-08-16,Mírete,0.0
2026-08-16,Sierra,0.0
2026-08-16,Telenti,3.0
2026-08-16,Vecina,1.0
2026-08-17,Ejkar,1.0
2026-08-17,Joaquín,3.0
2026-08-17,Juan,0.0
2026-08-17,Miguel Ángel,3.0
2026-08-17,Mírete,0.0
2026-08-17,Sierra,0.0
2026-08-17,Telenti,4.0
2026-08-17,Vecina,2.0
2026-08-18,Ejkar,1.0
2026-08-18,Joaquín,3.0
2026-08-18,Juan,0.0
2026-08-18,Miguel Ángel,3.0
2026-08-18,Mírete,0.0
2026-08-18,Sierra,0.0
2026-08-18,Telenti,4.0
2026-08-18,Vecina,2.0
2026-08-20,Ejkar,1.0
2026-08-20,Joaquín,3.0
2026-08-20,Juan,0.0
2026-08-20,Miguel Ángel,3.0
2026-08-20,Mírete,0.0
2026-08-20,Sierra,0.0
2026-08-20,Telenti,4.0
2026-08-20,Vecina,2.0
2026-08-21,Ejkar,1.0
2026-08-21,Joaquín,3.0
2026-08-21,Juan,1.0
2026-08-21,Miguel Ángel,4.0
2026-08-21,Mírete,0.0
2026-08-21,Sierra,0.0
2026-08-21,Telenti,4.0
2026-08-21,Vecina,2.0
2026-08-22,Ejkar,1.0
2026-08-22,Joaquín,3.0
2026-08-22,Juan,1.0
2026-08-22,Miguel Ángel,4.0
2026-08-22,Mírete,0.0
2026-08-22,Sierra,3.0
2026-08-22,Telenti,4.0
2026-08-22,Vecina,2.0
2026-08-23,Ejkar,1.0
2026-08-23,Joaquín,6.0
2026-08-23,Juan,1.0
2026-08-23,Miguel Ángel,5.0
2026-08-23,Mírete,1.0
2026-08-23,Sierra,3.0
2026-08-23,Telenti,4.0
2026-08-23,Vecina,2.0
2026-08-24,Ejkar,1.0
2026-08-24,Joaquín,7.0
2026-08-24,Juan,4.0
2026-08-24,Miguel Ángel,6.0
2026-08-24,Mírete,2.0
2026-08-24,Sierra,3.0
2026-08-24,Telenti,5.0
2026-08-24,Vecina,2.0
2026-08-25,Ejkar,1.0
2026-08-25,Joaquín,7.0
2026-08-25,Juan,4.0
2026-08-25,Miguel Ángel,6.0
2026-08-25,Mírete,2.0
2026-08-25,Sierra,4.0
2026-08-25,Telenti,6.0
2026-08-25,Vecina,3.0
2026-08-26,Ejkar,1.0
2026-08-26,Joaquín,7.0
2026-08-26,Juan,4.0
2026-08-26,Miguel Ángel,6.0
2026-08-26,Mírete,2.0
2026-08-26,Sierra,7.0
2026-08-26,Telenti,6.0
2026-08-26,Vecina,3.0
2026-08-27,Ejkar,1.0
2026-08-27,Joaquín,7.0
2026-08-27,Juan,4.0
2026-08-27,Miguel Ángel,6.0
2026-08-27,Mírete,2.0
2026-08-27,Sierra,7.0
2026-08-27,Telenti,6.0
2026-08-27,Vecina,3.0
2026-08-28,Ejkar,1.0
2026-08-28,Joaquín,7.0
2026-08-28,Juan,4.0
2026-08-28,Miguel Ángel,6.0
2026-08-28,Mírete,2.0
2026-08-28,Sierra,7.0
2026-08-28,Telenti,6.0
2026-08-28,Vecina,3.0
2026-08-31,Ejkar,1.0
2026-08-31,Joaquín,7.0
2026-08-31,Juan,4.0
2026-08-31,Miguel Ángel,6.0
2026-08-31,Mírete,2.0
2026-08-31,Sierra,7.0
2026-08-31,Telenti,6.0
2026-08-31,Vecina,3.0
2026-09-01,Ejkar,1.0
2026-09-01,Joaquín,7.0
2026-09-01,Juan,4.0
2026-09-01,Miguel Ángel,6.0
2026-09-01,Mírete,2.0
2026-09-01,Sierra,7.0
2026-09-01,Telenti,6.0
2026-09-01,Vecina,3.0
2026-09-02,Ejkar,1.0
2026-09-02,Joaquín,7.0
2026-09-02,Juan,4.0
2026-09-02,Miguel Ángel,6.0
2026-09-02,Mírete,2.0
2026-09-02,Sierra,7.0
2026-09-02,Telenti,6.0
2026-09-02,Vecina,3.0
2026-09-03,Ejkar,1.0
2026-09-03,Joaquín,7.0
2026-09-03,Juan,4.0
2026-09-03,Miguel Ángel,6.0
2026-09-03,Mírete,2.0
2026-09-03,Sierra,7.0
2026-09-03,Telenti,6.0
2026-09-03,Vecina,3.0
2026-09-04,Ejkar,1.0
2026-09-04,Joaquín,7.0
2026-09-04,Juan,4.0
2026-09-04,Miguel Ángel,6.0
2026-09-04,Mírete,2.0
2026-09-04,Sierra,7.0
2026-09-04,Telenti,6.0
2026-09-04,Vecina,3.0
